ID_COD;ID;X_CAMPUS;X_PERIODO;X_MODALIDAD;PROGRAMA;X_FACULTAD;DESCRIPCION_PROGRAMA;PERIODO_ADMISION;CATALOGO;CICLO_ACTUAL;CREDITOS_TOTAL;CREDITOS_MATRICULADOS;CACHIMBO;CICLO_MUESTRA;REINCORPORADO;TRASLADOS_INTER0S;TRICA_SUNEDU;X_ESTRATO_MUESTRA;RECOMENDACIÓN;REC_TIPO;DETRACTOR;PROMOTOR;SATISF_GEN;SATIF_ACAD;P4_1;P4_1_1;P4_1_2;P4_1_3;P4_1_4;P4_1_5;P4_1_6;P4_1_7;P4_1_8;P4_2;P4_2_1;P4_2_2;P4_3;P4_3_1;P4_3_2;P4_3_3;SATISF_SERV;SATISF_EXP;SATISF_REG_ACAD;SATISF_ACT_SOST;SATISF_APY_LOGRO_ACAD;SATISF_INF_TEC;P21_1;P21_1_1;P21_1_2;P21_2;P21_2_1;P21_2_2;P21_2_3;P21_3;P21_3_1;P21_3_2;P21_3_3;P21_3_4;SATISF_CAMP_VIRT;SATISF_COM_IMAG;P26_1;P26_2;P26_3;P26_4;P26_5;P26_6;P26_7;Facultad;Estrato_Muestra;CAB1;CAB2;CAB3;Campus;Modalidad;Carrera;Factor
10001;205;HYO;25-Feb;UC-PRESENCIAL;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202420;202410;2;44;24;0;1 a 4;0;0;0;INGENIERÍA OTRAS;8;0;0;0;4;3;3;4;4;4;4;5;4;4;4;4;4;4;2;4;4;3;3;3;4;4;4;5;5;5;5;5;4;4;4;5;4;4;3;4;4;4;4;4;4;4;4;4;4;Facultad de Ingeniería;Ingeniería - Otras;Huancayo;UC - Presencial;Ingeniería - Otras;Huancayo;Presencial;Ingeniería de Sistemas e Informática;3.759492697
10002;212;HYO;25-Feb;UC-PRESENCIAL;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202210;201910;7;145;20;0;5 a más;0;0;0;INGENIERÍA OTRAS;5;-1;1;0;2;2;2;5;3;4;5;4;4;5;2;3;4;3;3;3;4;4;3;3;3;3;4;2;3;4;5;3;3;2;2;3;3;4;4;4;3;3;4;4;4;4;5;5;2;Facultad de Ingeniería;Ingeniería - Otras;Huancayo;UC - Presencial;Ingeniería - Otras;Huancayo;Presencial;Ingeniería de Sistemas e Informática;3.759492697
10003;1415;AQP;25-Feb;UC-PRESENCIAL;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202410;202410;2;40;23;0;1 a 4;0;0;0;INGENIERÍA OTRAS;9;1;0;1;4;4;4;4;4;4;5;5;5;5;5;4;5;5;4;5;5;5;4;4;5;5;5;5;5;5;5;5;4;4;5;5;4;5;5;5;5;5;5;5;4;5;5;4;5;Facultad de Ingeniería;Ingeniería - Otras;Arequipa;UC - Presencial;Ingeniería - Otras;Arequipa;Presencial;Ingeniería de Sistemas e Informática;0.81538184
10004;2277;CZC;25-Feb;UC-SEMIPRESENCIAL;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202520;202410;1;0;23;1;1 a 4;0;0;0;INGENIERÍA OTRAS;10;1;0;1;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Facultad de Ingeniería;Ingeniería - Otras;Cusco;UC - Semipresencial;Ingeniería - Otras;Cusco;Semipresencial;Ingeniería de Sistemas e Informática;0.52417404
10005;3152;VIR;25-Feb;UC-A DISTANCIA;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202520;202410;1;0;13;1;1 a 4;0;0;0;INGENIERÍA OTRAS;10;1;0;1;4;5;5;5;5;5;5;5;5;5;5;5;4;3;5;5;4;5;5;4;2;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Ingeniería;Ingeniería - Otras;;UC - A Distancia;Ingeniería - Otras;Virtual;A Distancia;Ingeniería de Sistemas e Informática;1.784276927
10006;1601;CZC;25-Feb;UC-PRESENCIAL;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202320;201910;4;84;20;0;1 a 4;0;0;0;INGENIERÍA OTRAS;9;1;0;1;3;4;4;5;5;5;5;5;4;4;5;4;5;5;4;4;3;4;3;4;5;5;5;5;5;3;4;5;4;3;5;5;4;4;4;4;5;4;5;4;5;5;4;4;4;Facultad de Ingeniería;Ingeniería - Otras;Cusco;UC - Presencial;Ingeniería - Otras;Cusco;Presencial;Ingeniería de Sistemas e Informática;2.205237248
10007;4454;HYO;25-Feb;UC-PRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;202510;202410;1;21;25;0;1 a 4;0;0;0;ING CIVIL;9;1;0;1;4;5;5;4;4;5;5;5;4;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;Facultad de Ingeniería;Ingeniería Civil;Huancayo;UC - Presencial;Ingeniería Civil;Huancayo;Presencial;Ingeniería Civil;1.47448216
10008;3868;HYO;25-Feb;UC-PRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;202520;202410;1;0;21;1;1 a 4;0;0;0;ING CIVIL;10;1;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Ingeniería;Ingeniería Civil;Huancayo;UC - Presencial;Ingeniería Civil;Huancayo;Presencial;Ingeniería Civil;1.47448216
10009;6056;HYO;25-Feb;UC-SEMIPRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;201820;201910;10;206;4;0;5 a más;0;0;0;ING CIVIL;10;1;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Ingeniería;Ingeniería Civil;Huancayo;UC - Semipresencial;Ingeniería Civil;Huancayo;Semipresencial;Ingeniería Civil;1.315482701
10010;3283;VIR;25-Feb;UC-A DISTANCIA;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202410;202410;4;86;23;0;1 a 4;0;0;0;INGENIERÍA OTRAS;5;-1;1;0;3;3;3;3;4;5;3;4;3;3;3;3;4;4;3;2;2;4;3;3;3;3;3;3;3;4;5;3;5;5;5;3;4;4;1;4;3;3;3;2;2;3;3;3;1;Facultad de Ingeniería;Ingeniería - Otras;;UC - A Distancia;Ingeniería - Otras;Virtual;A Distancia;Ingeniería de Sistemas e Informática;1.784276927
10011;6522;HYO;25-Feb;UC-SEMIPRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;202410;201910;5;90;20;0;5 a más;0;0;0;ING CIVIL;10;1;0;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Ingeniería;Ingeniería Civil;Huancayo;UC - Semipresencial;Ingeniería Civil;Huancayo;Semipresencial;Ingeniería Civil;1.315482701
10012;6284;HYO;25-Feb;UC-SEMIPRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;202520;202410;1;7;22;1;1 a 4;0;0;0;ING CIVIL;10;1;0;1;4;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;Facultad de Ingeniería;Ingeniería Civil;Huancayo;UC - Semipresencial;Ingeniería Civil;Huancayo;Semipresencial;Ingeniería Civil;1.315482701
